,Symbol,Group,Family,Duration,Growth_Habit,Native_Status,Other_Name
0,ABGR4,Dicot,Caprifoliaceae,Perennial,Shrub,L48 I,
1,ABES,Dicot,Malvaceae,AnnualPerennial,Forb/herbSubshrub,L48 IPB IPR IVI I,
2,ABMO,Dicot,Malvaceae,Perennial,ShrubSubshrub,HI IPB IPR I,
3,ABIES,Gymnosperm,Pinaceae, , ,"AK NCAN NL48 I,NSPM N",
4,ABAL3,Gymnosperm,Pinaceae,Perennial,Tree,L48 I,
5,ABAM,Gymnosperm,Pinaceae,Perennial,Tree,AK NCAN NL48 N,
6,ABBA,Gymnosperm,Pinaceae,Perennial,Tree,CAN NL48 NSPM N,
7,ABBR,Gymnosperm,Pinaceae,Perennial,Tree,L48 N,
8,ABCO,Gymnosperm,Pinaceae,Perennial,Tree,L48 N,
9,ABFR,Gymnosperm,Pinaceae,Perennial,Tree,L48 N,
10,ABGR,Gymnosperm,Pinaceae,Perennial,Tree,CAN NL48 N,
11,ABLA,Gymnosperm,Pinaceae,Perennial,Tree,AK NCAN NL48 N,
12,ABLAA,Gymnosperm,Pinaceae,Perennial,Tree,L48 N,
13,ABLAL,Gymnosperm,Pinaceae,Perennial,Tree,AK NCAN NL48 N,
14,ABMA,Gymnosperm,Pinaceae,Perennial,Tree,L48 N,
15,ABPR,Gymnosperm,Pinaceae,Perennial,Tree,L48 N,
16,ABAB70,Moss,Thuidiaceae, ,Nonvascular,NA N,
17,ABRON,Dicot,Nyctaginaceae, , ,CAN NL48 N,
18,ABAM2,Dicot,Nyctaginaceae,Perennial,Forb/herb,L48 N,
19,ABAN,Dicot,Nyctaginaceae,AnnualPerennial,Forb/herb,L48 N,
20,ABBI,Dicot,Nyctaginaceae,Perennial,Forb/herb,L48 N,
21,ABFR2,Dicot,Nyctaginaceae,Perennial,Forb/herb,L48 N,prairie snowball
22,ABLA2,Dicot,Nyctaginaceae,Perennial,Forb/herb,CAN NL48 N,
23,ABMA2,Dicot,Nyctaginaceae,Perennial,Forb/herb,L48 N,
24,ABME,Dicot,Nyctaginaceae,Perennial,Forb/herb,L48 N,
25,ABNA,Dicot,Nyctaginaceae,Perennial,Forb/herb,L48 N,
26,ABPO,Dicot,Nyctaginaceae,Annual,Forb/herb,L48 N,
27,ABTU,Dicot,Nyctaginaceae,AnnualPerennial,Forb/herb,L48 N,
