,Symbol,Scientific Name,Common Name
0,ABGR4,Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora],glossy abelia
1,ABES,Abelmoschus esculentus (L.) Moench,okra
2,HIES,Hibiscus esculentus L.,N/A
3,ABMO,Abelmoschus moschatus Medik.,musk okra
4,HIAB,Hibiscus abelmoschus L.,N/A
5,ABIES,Abies,fir
6,ABAL3,Abies alba Mill.,silver fir
7,ABAM,Abies amabilis (Douglas ex Louden) Douglas ex Forbes,Pacific silver fir
8,ABBA,Abies balsamea (L.) Mill.,balsam fir
9,ABBR,Abies bracteata (D. Don) D. Don ex Poit.,bristlecone fir
10,ABCO,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir
11,ABFR,Abies fraseri (Pursh) Poir.,Fraser fir
12,ABGR,Abies grandis (Douglas ex D. Don) Lindl.,grand fir
13,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var. grandis,N/A
14,ABLA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
15,ABLAA,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,corkbark fir
16,ABLAL,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir
17,ABMA,Abies magnifica A. Murray,California red fir
18,ABPR,Abies procera Rehder,noble fir
19,ABAB70,Abietinella abietina (Hedw.) Fleisch.,abietinella moss
20,ABRON,Abronia,sand verbena
21,ABAM2,Abronia ameliae Lundell,Amelia's sand verbena
22,ABAN,Abronia angustifolia Greene,purple sand verbena
23,ABBI,Abronia bigelovii Heimerl,Galisteo sand verbena
24,ABFR2,Abronia fragrans Nutt. ex Hook.,snowball sand verbena
25,ABLA2,Abronia latifolia Eschsch.,coastal sand verbena
26,ABMA2,Abronia maritima Nutt. ex S. Watson,red sand verbena
27,ABME,Abronia mellifera Douglas ex Hook.,white sand verbena
28,ABNA,Abronia nana S. Watson,dwarf sand verbena
29,ABPO,Abronia pogonantha Heimerl,Mojave sand verbena
30,ABTU,Abronia turbinata Torr. ex S. Watson,transmontane sand verbena
31,ABUM,Abronia umbellata Lam.,pink sand verbena
32,ABUMU,Abronia umbellata Lam. ssp. umbellata,pink sand verbena
33,ABVI,Abronia villosa S. Watson,desert sand verbena
34,ABVIA,Abronia villosa S. Watson var. aurita (Abrams) Jeps.,desert sand verbena
35,ABVIV,Abronia villosa S. Watson var. villosa,desert sand verbena
36,ABPR3,Abrus precatorius L.,rosarypea
37,ABUTI,Abutilon,Indian mallow
38,ABAB,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow
39,ABHI,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow
40,ABIN,Abutilon incanum (Link) Sweet,pelotazo
41,ABMA8,Abutilon mauritianum (Jacq.) Medik., 
42,ABME3,Abutilon megapotamicum (A. Spreng.) A. St.-Hil. & Naudin,trailing abutilon
43,ABMO2,Abutilon mollicomum (Willd.) Sweet,Sonoran Indian mallow
44,ABTH,Abutilon theophrasti Medik.,velvetleaf
45,ABAB3,Abutilon abutilon (L.) Rusby,N/A
46,ACACI,Acacia,acacia
47,ACAN10,Acacia aneura F. Muell. ex Benth.,mulga
48,ACAN11,Acacia angustissima (Mill.) Kuntze,prairie acacia
49,ACBA,Acacia baileyana F. Muell.,cootamundra wattle
50,SEBE2,Acacia berlandieri Benth.,guajillo
51,ACBO4,Acacia boomanii Maiden,Snowy River wattle
52,ACCA27,Acacia cardiophylla A. Cunn. ex Benth.,wyalong wattle
53,SECA28,Acacia catechu (L. f.) Willd. [excluded],black cutch
54,VACO8,Acacia collinsii Saff.,bull horn acacia
55,ACCO,Acacia confusa Merr.,small Philippine acacia
56,VACO9,Acacia constricta Benth.,whitethorn acacia
57,VACO10,Acacia cornigera (L.) Willd.,bullhorn wattle
58,ACCY2,Acacia cyclops A. Cunn. ex G. Don,coastal wattle
59,ACDE3,Acacia dealbata Link,silver wattle
60,ACDE,Acacia decurrens (Wendl. f.) Willd.,green wattle
61,ACEL,Acacia elata A. Cunn. ex Benth.,cedar wattle
62,VAFA,Acacia farnesiana (L.) Willd.,sweet acacia
63,ACGL7,Acacia glauca (L.) Moench,acacia
64,SEGR4,Acacia greggii A. Gray,catclaw acacia
65,ACKO,Acacia koa A. Gray,koa
66,ACLI8,Acacia ligulata Benth.,acacia
67,ACLO,Acacia longifolia (Andrews) Willd.,Sydney golden wattle
68,ACLOS3,Acacia longifolia (Andrews) Willd. ssp. sophorae (Labill.) Court, 
69,VAMA4,Acacia macracantha Humb. & Bonpl. ex Willd.,porknut
70,ACME80,Acacia mearnsii De Wild.,black wattle
71,ACME,Acacia melanoxylon R. Br.,blackwood
72,SEMU4,Acacia muricata (L.) Willd.,spineless wattle
73,SENI4,Acacia nigrescens Oliv.,knobthorn
74,VANI4,Acacia nilotica (L.) Willd. ex Delile,gum arabic tree
75,ACPA8,Acacia paradoxa DC.,paradox acacia
